Tháng,% Lạm phát
01/03/2024,3.5
01/02/2024,3.2
01/01/2024,3.1
01/12/2023,3.4
01/11/2023,3.1
01/10/2023,3.2
01/09/2023,3.7
01/08/2023,3.7
01/07/2023,3.2
01/06/2023,3
01/05/2023,4
01/04/2023,4.9
01/03/2023,5
01/02/2023,6
01/01/2023,6.4
01/12/2022,6.5
01/11/2022,7.1
01/10/2022,7.7
01/09/2022,8.2
01/08/2022,8.3
01/07/2022,8.5
01/06/2022,9.1
01/05/2022,8.6
01/04/2022,8.3
01/03/2022,8.5
