"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/01/2024","2,031.75","2,019.40","2,037.75","2,017.38","","0.66%"
"26/01/2024","2,018.34","2,019.94","2,026.80","2,015.97","","-0.07%"
"25/01/2024","2,019.75","2,012.84","2,025.27","2,010.15","","0.36%"
"24/01/2024","2,012.59","2,028.94","2,036.74","2,011.28","","-0.74%"
"23/01/2024","2,027.68","2,021.24","2,037.92","2,019.59","","0.38%"
"22/01/2024","2,020.09","2,029.90","2,032.28","2,016.74","","-0.44%"
"19/01/2024","2,029.09","2,023.05","2,039.49","2,020.37","","0.32%"
"18/01/2024","2,022.67","2,006.09","2,023.45","2,005.43","","0.85%"
"17/01/2024","2,005.72","2,027.90","2,033.05","2,001.91","","-1.08%"
"16/01/2024","2,027.59","2,054.91","2,055.65","2,024.29","","-1.31%"
"15/01/2024","2,054.49","2,048.09","2,059.25","2,045.80","","0.28%"
"12/01/2024","2,048.72","2,028.30","2,062.35","2,027.99","","1.02%"
"11/01/2024","2,028.09","2,023.74","2,039.69","2,013.32","","0.23%"
"10/01/2024","2,023.40","2,029.94","2,040.44","2,020.45","","-0.31%"
"09/01/2024","2,029.59","2,028.40","2,042.09","2,026.11","","0.09%"
"08/01/2024","2,027.84","2,044.08","2,046.71","2,016.84","","-0.86%"
"05/01/2024","2,045.50","2,043.69","2,064.03","2,024.49","","0.11%"
"04/01/2024","2,043.26","2,041.34","2,051.40","2,036.24","","0.15%"
"03/01/2024","2,040.19","2,059.15","2,066.12","2,030.68","","-0.89%"
"02/01/2024","2,058.51","2,062.90","2,079.02","2,056.04","","-0.26%"
"01/01/2024","2,063.80","2,064.24","2,074.90","2,063.30","","0.06%"
"29/12/2023","2,062.59","2,065.15","2,075.15","2,057.75","","-0.17%"
"28/12/2023","2,066.04","2,077.34","2,088.54","2,065.89","","-0.53%"
"27/12/2023","2,077.00","2,066.70","2,084.59","2,061.00","","0.47%"
"26/12/2023","2,067.20","2,055.73","2,068.65","2,053.59","","0.60%"
"25/12/2023","2,054.93","2,054.32","2,058.36","2,053.96","","0.10%"
"22/12/2023","2,052.98","2,045.84","2,070.65","2,045.65","","0.37%"
"21/12/2023","2,045.49","2,029.44","2,046.07","2,029.44","","0.80%"
"20/12/2023","2,029.19","2,040.34","2,043.94","2,029.37","","-0.54%"
"19/12/2023","2,040.12","2,027.30","2,047.07","2,021.74","","0.65%"
"18/12/2023","2,027.00","2,020.09","2,033.71","2,015.99","","0.44%"
"15/12/2023","2,018.19","2,035.80","2,045.55","2,015.68","","-0.85%"
"14/12/2023","2,035.53","2,026.59","2,047.98","2,024.33","","0.45%"
"13/12/2023","2,026.39","1,979.74","2,027.55","1,973.09","","2.37%"
