"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/12/2023","71.77","73.80","74.40","71.72","262.75K","-3.16%"
"27/12/2023","74.11","75.32","75.66","73.77","253.32K","-1.93%"
"26/12/2023","75.57","73.56","76.18","73.13","208.72K","2.41%"
"25/12/2023","73.79","73.49","73.94","73.48","","0.31%"
"22/12/2023","73.56","73.91","74.98","73.39","222.60K","-0.45%"
"21/12/2023","73.89","73.81","74.58","72.44","251.98K","-0.44%"
"20/12/2023","74.22","74.06","75.37","73.60","273.36K","1.06%"
"19/12/2023","73.44","72.48","74.01","71.85","25.69K","1.34%"
"18/12/2023","72.47","71.68","74.26","70.64","73.94K","1.46%"
"15/12/2023","71.43","71.61","72.22","70.30","95.51K","-0.21%"
"14/12/2023","71.58","69.85","72.46","69.54","275.69K","3.04%"
"13/12/2023","69.47","68.73","69.89","67.71","307.00K","1.25%"
"12/12/2023","68.61","71.43","71.96","68.22","324.53K","-3.80%"
"11/12/2023","71.32","71.15","71.81","70.35","274.41K","0.13%"
"08/12/2023","71.23","69.76","71.63","69.50","302.25K","2.73%"
"07/12/2023","69.34","69.28","70.48","68.80","339.00K","-0.06%"
"06/12/2023","69.38","72.10","72.60","69.11","436.80K","-4.07%"
"05/12/2023","72.32","73.30","74.12","72.02","358.70K","-0.99%"
"04/12/2023","73.04","74.58","75.03","72.63","388.83K","-1.39%"
"01/12/2023","74.07","75.59","76.76","73.93","358.98K","-2.49%"
"30/11/2023","75.96","77.75","79.60","75.05","559.17K","-2.44%"
"29/11/2023","77.86","76.56","78.09","75.67","322.17K","1.90%"
"28/11/2023","76.41","75.07","77.02","74.64","286.62K","2.07%"
"27/11/2023","74.86","75.31","76.23","74.06","289.56K","-0.90%"
"24/11/2023","75.54","76.79","77.09","75.07","281.15K","-1.05%"
"23/11/2023","76.34","76.69","76.81","75.31","","-0.99%"
"22/11/2023","77.10","77.77","77.97","73.79","389.33K","-0.86%"
"21/11/2023","77.77","77.65","77.92","76.92","238.63K","0.22%"
"20/11/2023","77.60","75.65","78.22","75.65","27.25K","2.25%"
"17/11/2023","75.89","72.97","75.99","72.75","101.48K","4.10%"
"16/11/2023","72.90","76.60","76.63","72.16","125.17K","-4.90%"
"15/11/2023","76.66","78.17","78.77","76.31","282.30K","-2.04%"
"14/11/2023","78.26","78.53","79.77","77.79","263.00K","0.00%"
"13/11/2023","78.26","77.15","78.64","76.21","262.90K","1.41%"
"10/11/2023","77.17","75.59","77.73","75.31","267.00K","1.89%"
"09/11/2023","75.74","75.65","77.16","75.21","303.43K","0.54%"
"08/11/2023","75.33","77.12","77.53","74.91","429.65K","-2.64%"
"07/11/2023","77.37","80.93","81.05","77.09","396.29K","-4.27%"
"06/11/2023","80.82","81.13","82.24","80.66","271.13K","0.39%"
"03/11/2023","80.51","82.58","83.60","80.10","457.28K","-2.36%"
"02/11/2023","82.46","80.82","82.83","80.22","307.12K","2.51%"
"01/11/2023","80.44","81.48","83.42","80.30","321.59K","-0.72%"
"31/10/2023","81.02","82.59","83.37","80.74","346.01K","-1.57%"
"30/10/2023","82.31","85.00","85.30","81.82","356.93K","-3.78%"
"27/10/2023","85.54","83.53","85.90","83.10","333.76K","2.80%"
"26/10/2023","83.21","85.37","85.59","82.56","341.79K","-2.55%"
"25/10/2023","85.39","83.69","85.56","82.08","429.46K","1.97%"
"24/10/2023","83.74","86.15","86.30","82.94","370.59K","-2.05%"
"23/10/2023","85.49","88.00","88.29","85.35","315.52K","-3.67%"
"20/10/2023","88.75","90.28","90.78","88.33","27.31K","-0.69%"
"19/10/2023","89.37","88.24","90.68","86.60","72.06K","1.19%"
"18/10/2023","88.32","87.81","89.88","87.20","92.80K","1.92%"
"17/10/2023","86.66","87.06","87.75","85.60","197.12K","0.00%"
"16/10/2023","86.66","87.72","88.33","86.32","235.78K","-1.17%"
"13/10/2023","87.69","83.51","87.83","83.35","356.86K","5.77%"
"12/10/2023","82.91","83.20","85.20","82.31","373.49K","-0.69%"
"11/10/2023","83.49","85.96","86.51","83.11","425.40K","-2.88%"
"10/10/2023","85.97","86.43","86.74","85.12","337.65K","-0.47%"
"09/10/2023","86.38","85.25","87.24","84.67","435.04K","4.34%"
"06/10/2023","82.79","82.28","83.28","81.50","461.14K","0.58%"
"05/10/2023","82.31","84.45","84.92","82.15","466.00K","-2.27%"
"04/10/2023","84.22","89.42","89.59","84.16","460.00K","-5.61%"
"03/10/2023","89.23","88.67","90.27","87.76","350.66K","0.46%"
"02/10/2023","88.82","90.82","91.88","88.46","334.49K","-2.17%"
"29/09/2023","90.79","91.76","93.10","90.35","355.78K","-1.00%"
"28/09/2023","91.71","93.78","95.03","91.39","406.71K","-2.10%"
"27/09/2023","93.68","90.53","94.17","90.40","504.63K","3.64%"
"26/09/2023","90.39","89.88","90.74","88.19","318.02K","0.79%"
"25/09/2023","89.68","90.55","90.83","89.03","328.37K","-0.39%"
"22/09/2023","90.03","89.62","91.33","89.31","402.09K","0.45%"
"21/09/2023","89.63","89.30","90.98","88.37","351.03K","-0.72%"
"20/09/2023","90.28","91.55","91.98","89.87","35.99K","-1.01%"
"19/09/2023","91.20","92.22","93.74","91.07","94.60K","-0.31%"
"18/09/2023","91.48","91.20","92.43","90.75","119.26K","0.78%"
"15/09/2023","90.77","90.67","91.23","89.22","315.00K","0.68%"
"14/09/2023","90.16","88.81","90.79","88.68","325.27K","1.85%"
"13/09/2023","88.52","88.75","89.64","88.29","345.97K","-0.36%"
"12/09/2023","88.84","87.27","89.37","87.22","341.14K","1.78%"
"11/09/2023","87.29","87.40","88.15","86.71","292.39K","-0.25%"
"08/09/2023","87.51","86.78","87.95","86.15","294.44K","0.74%"
"07/09/2023","86.87","87.54","87.74","86.39","270.74K","-0.77%"
